latitude,longitude,noise_pred_dB
20.9920637,105.8291663,62.15179344142107
20.9920637,105.82946629999999,62.15179344142107
20.9920637,105.82976629999999,62.15179344142107
20.9920637,105.83006629999998,62.15179344142107
20.9920637,105.83036629999998,62.15179344142107
20.9920637,105.83066629999998,62.15179344142107
20.9920637,105.83096629999997,62.15179344142107
20.9920637,105.83126629999997,62.15179344142107
20.9920637,105.83156629999996,62.15179344142107
20.9920637,105.83186629999996,62.15179344142107
20.9920637,105.83216629999995,62.15179344142107
20.9920637,105.83246629999995,62.15179344142107
20.9920637,105.83276629999995,62.15179344142107
20.9920637,105.83306629999994,62.15179344142107
20.9920637,105.83336629999994,62.15179344142107
20.9920637,105.83366629999993,62.15179344142107
20.9920637,105.83396629999993,62.15179344142107
20.9920637,105.83426629999992,62.15179344142107
20.9920637,105.83456629999992,62.15179344142107
20.9920637,105.83486629999992,62.15179344142107
20.9920637,105.83516629999991,62.15179344142107
20.9920637,105.83546629999991,62.15179344142107
20.9920637,105.8357662999999,62.15179344142107
20.9920637,105.8360662999999,62.15179344142107
20.9920637,105.8363662999999,62.15179344142107
20.9920637,105.83666629999989,62.15179344142107
20.9920637,105.83696629999989,62.15179344142107
20.9920637,105.83726629999988,62.15179344142107
20.9920637,105.83756629999988,62.15179344142107
20.9920637,105.83786629999987,62.15179344142107
20.9920637,105.83816629999987,60.79709013396707
20.9920637,105.83846629999987,60.79709013396707
20.9920637,105.83876629999986,60.11918169766831
20.9920637,105.83906629999986,58.56186271788411
20.9920637,105.83936629999985,58.56186271788411
20.9920637,105.83966629999985,59.40879933363829
20.9920637,105.83996629999984,62.61098535537919
20.9920637,105.84026629999984,61.75431014864362
20.9920637,105.84056629999984,62.13530782566399
20.9920637,105.84086629999983,57.74339953204131
20.9920637,105.84116629999983,60.529878845351675
20.9920637,105.84146629999982,60.007866826366055
20.9920637,105.84176629999982,60.01602220023841
20.9920637,105.84206629999981,59.66909408419527
20.9920637,105.84236629999981,57.98373632503679
20.9920637,105.8426662999998,64.84250564248501
20.9920637,105.8429662999998,59.24216356549635
20.9920637,105.8432662999998,61.97294256011844
20.9920637,105.8435662999998,57.768691016250564
20.9920637,105.84386629999979,61.70783959365521
20.9920637,105.84416629999978,60.79709013396707
20.9920637,105.84446629999978,60.79709013396707
20.9920637,105.84476629999978,60.79709013396707
20.9920637,105.84506629999977,60.79709013396707
20.9920637,105.84536629999977,62.15179344142107
20.9920637,105.84566629999976,62.15179344142107
20.9920637,105.84596629999976,62.15179344142107
20.9920637,105.84626629999975,62.15179344142107
20.9920637,105.84656629999975,62.15179344142107
20.9920637,105.84686629999975,62.15179344142107
20.9920637,105.84716629999974,62.15179344142107
20.9920637,105.84746629999974,62.15179344142107
20.9920637,105.84776629999973,62.15179344142107
20.9920637,105.84806629999973,62.15179344142107
20.9920637,105.84836629999973,62.15179344142107
20.9920637,105.84866629999972,62.15179344142107
20.9920637,105.84896629999972,62.15179344142107
20.9920637,105.84926629999971,62.15179344142107
20.9920637,105.84956629999971,62.15179344142107
20.9920637,105.8498662999997,62.15179344142107
20.9920637,105.8501662999997,62.15179344142107
20.9920637,105.8504662999997,62.15179344142107
20.9920637,105.85076629999969,62.15179344142107
20.9920637,105.85106629999969,62.15179344142107
20.9920637,105.85136629999968,62.15179344142107
20.9920637,105.85166629999968,62.15179344142107
20.9920637,105.85196629999967,62.15179344142107
20.9920637,105.85226629999967,62.15179344142107
20.9920637,105.85256629999967,62.15179344142107
20.9920637,105.85286629999966,62.15179344142107
20.9920637,105.85316629999966,62.15179344142107
20.9920637,105.85346629999965,62.15179344142107
20.9920637,105.85376629999965,62.15179344142107
20.9920637,105.85406629999964,62.15179344142107
20.9920637,105.85436629999964,62.15179344142107
20.9920637,105.85466629999964,62.15179344142107
20.9920637,105.85496629999963,62.15179344142107
20.9920637,105.85526629999963,62.15179344142107
20.9920637,105.85556629999962,62.15179344142107
20.9920637,105.85586629999962,62.15179344142107
20.9920637,105.85616629999961,62.15179344142107
20.9920637,105.85646629999961,62.15179344142107
20.9920637,105.8567662999996,62.15179344142107
20.9920637,105.8570662999996,62.15179344142107
20.9920637,105.8573662999996,62.15179344142107
20.9920637,105.8576662999996,62.15179344142107
20.9923637,105.8291663,62.15179344142107
20.9923637,105.82946629999999,62.15179344142107
20.9923637,105.82976629999999,62.15179344142107
20.9923637,105.83006629999998,62.15179344142107
20.9923637,105.83036629999998,62.15179344142107
20.9923637,105.83066629999998,62.15179344142107
20.9923637,105.83096629999997,62.15179344142107
20.9923637,105.83126629999997,62.15179344142107
20.9923637,105.83156629999996,62.15179344142107
20.9923637,105.83186629999996,62.15179344142107
20.9923637,105.83216629999995,62.15179344142107
20.9923637,105.83246629999995,62.15179344142107
20.9923637,105.83276629999995,62.15179344142107
20.9923637,105.83306629999994,62.15179344142107
20.9923637,105.83336629999994,62.15179344142107
20.9923637,105.83366629999993,62.15179344142107
20.9923637,105.83396629999993,62.15179344142107
20.9923637,105.83426629999992,62.15179344142107
20.9923637,105.83456629999992,62.15179344142107
20.9923637,105.83486629999992,62.15179344142107
20.9923637,105.83516629999991,62.15179344142107
20.9923637,105.83546629999991,62.15179344142107
20.9923637,105.8357662999999,62.15179344142107
20.9923637,105.8360662999999,62.15179344142107
20.9923637,105.8363662999999,62.15179344142107
20.9923637,105.83666629999989,62.15179344142107
20.9923637,105.83696629999989,62.15179344142107
20.9923637,105.83726629999988,62.15179344142107
20.9923637,105.83756629999988,62.15179344142107
20.9923637,105.83786629999987,60.79709013396707
20.9923637,105.83816629999987,59.622078443252974
20.9923637,105.83846629999987,59.47302341590989
20.9923637,105.83876629999986,59.47302341590989
20.9923637,105.83906629999986,59.47302341590989
20.9923637,105.83936629999985,59.47302341590989
20.9923637,105.83966629999985,57.11454561951368
20.9923637,105.83996629999984,64.1270791922216
20.9923637,105.84026629999984,60.88844000895605
20.9923637,105.84056629999984,59.772430433984916
20.9923637,105.84086629999983,56.890501962049626
20.9923637,105.84116629999983,58.287964960964075
20.9923637,105.84146629999982,62.770651479073386
20.9923637,105.84176629999982,62.770651479073386
20.9923637,105.84206629999981,60.66959092515895
20.9923637,105.84236629999981,56.58888623536749
20.9923637,105.8426662999998,57.0651853766728
20.9923637,105.8429662999998,63.55484201156615
20.9923637,105.8432662999998,59.502999766854096
20.9923637,105.8435662999998,61.19307935730127
20.9923637,105.84386629999979,62.32746397121819
20.9923637,105.84416629999978,59.287951753214045
20.9923637,105.84446629999978,59.622078443252974
20.9923637,105.84476629999978,60.86117929707866
20.9923637,105.84506629999977,60.86117929707866
20.9923637,105.84536629999977,60.79709013396707
20.9923637,105.84566629999976,62.15179344142107
20.9923637,105.84596629999976,62.15179344142107
20.9923637,105.84626629999975,62.15179344142107
20.9923637,105.84656629999975,62.15179344142107
20.9923637,105.84686629999975,62.15179344142107
20.9923637,105.84716629999974,62.15179344142107
20.9923637,105.84746629999974,62.15179344142107
20.9923637,105.84776629999973,62.15179344142107
20.9923637,105.84806629999973,62.15179344142107
20.9923637,105.84836629999973,62.15179344142107
20.9923637,105.84866629999972,62.15179344142107
20.9923637,105.84896629999972,62.15179344142107
20.9923637,105.84926629999971,62.15179344142107
20.9923637,105.84956629999971,62.15179344142107
20.9923637,105.8498662999997,62.15179344142107
20.9923637,105.8501662999997,62.15179344142107
20.9923637,105.8504662999997,62.15179344142107
20.9923637,105.85076629999969,62.15179344142107
20.9923637,105.85106629999969,62.15179344142107
20.9923637,105.85136629999968,62.15179344142107
20.9923637,105.85166629999968,62.15179344142107
20.9923637,105.85196629999967,62.15179344142107
20.9923637,105.85226629999967,62.15179344142107
20.9923637,105.85256629999967,62.15179344142107
20.9923637,105.85286629999966,62.15179344142107
20.9923637,105.85316629999966,62.15179344142107
20.9923637,105.85346629999965,62.15179344142107
20.9923637,105.85376629999965,62.15179344142107
20.9923637,105.85406629999964,62.15179344142107
20.9923637,105.85436629999964,62.15179344142107
20.9923637,105.85466629999964,62.15179344142107
20.9923637,105.85496629999963,62.15179344142107
20.9923637,105.85526629999963,62.15179344142107
20.9923637,105.85556629999962,62.15179344142107
20.9923637,105.85586629999962,62.15179344142107
20.9923637,105.85616629999961,62.15179344142107
20.9923637,105.85646629999961,62.15179344142107
20.9923637,105.8567662999996,62.15179344142107
20.9923637,105.8570662999996,62.15179344142107
