x,y,noise_dB,site,hour
105.8529519,21.0229668,64.47,Hoan Kiem lake,17
105.8533367,21.0229648,63.35,Hoan Kiem lake,17
105.8537216,21.0229629,64.22,Hoan Kiem lake,17
105.8541065,21.022961,65.13,Hoan Kiem lake,17
105.8544914,21.022959,72.76,Hoan Kiem lake,17
105.8548763,21.0229571,75.3,Hoan Kiem lake,17
105.8552612,21.0229552,73.11,Hoan Kiem lake,17
105.8556461,21.0229532,68.26,Hoan Kiem lake,17
105.856031,21.0229513,69.29,Hoan Kiem lake,17
105.8564159,21.0229494,73.28,Hoan Kiem lake,17
105.8568008,21.0229474,70.74,Hoan Kiem lake,17
105.8571857,21.0229455,75.2,Hoan Kiem lake,17
105.8575706,21.0229436,71.92,Hoan Kiem lake,17
105.8421768,21.0233819,63.71,Hoan Kiem lake,17
105.8425617,21.02338,64.11,Hoan Kiem lake,17
105.8429466,21.0233781,63.7,Hoan Kiem lake,17
105.8433315,21.0233761,63.49,Hoan Kiem lake,17
105.8437164,21.0233742,70.91,Hoan Kiem lake,17
105.8441013,21.0233723,64.47,Hoan Kiem lake,17
105.8444862,21.0233704,71.22,Hoan Kiem lake,17
105.8448711,21.0233685,66.81,Hoan Kiem lake,17
105.845256,21.0233666,64.3,Hoan Kiem lake,17
105.8456409,21.0233647,63.55,Hoan Kiem lake,17
105.8460258,21.0233628,62.35,Hoan Kiem lake,17
105.8464107,21.0233608,71.96,Hoan Kiem lake,17
105.8467956,21.0233589,67.96,Hoan Kiem lake,17
105.8471805,21.023357,64.18,Hoan Kiem lake,17
105.8475654,21.0233551,62.99,Hoan Kiem lake,17
105.8479503,21.0233532,71.59,Hoan Kiem lake,17
105.8483352,21.0233513,69.78,Hoan Kiem lake,17
105.84872,21.0233493,64.25,Hoan Kiem lake,17
105.8491049,21.0233474,72.82,Hoan Kiem lake,17
105.8494898,21.0233455,64.77,Hoan Kiem lake,17
105.8498747,21.0233436,68.45,Hoan Kiem lake,17
105.8502596,21.0233417,72.07,Hoan Kiem lake,17
105.8506445,21.0233397,73.87,Hoan Kiem lake,17
105.8510294,21.0233378,67.43,Hoan Kiem lake,17
105.8514143,21.0233359,62.62,Hoan Kiem lake,17
105.8517992,21.0233339,65.75,Hoan Kiem lake,17
105.8521841,21.023332,64.55,Hoan Kiem lake,17
105.852569,21.0233301,68.77,Hoan Kiem lake,17
105.8529539,21.0233282,70.73,Hoan Kiem lake,17
105.8533388,21.0233262,65.47,Hoan Kiem lake,17
105.8537237,21.0233243,66.3,Hoan Kiem lake,17
105.8541086,21.0233224,65.63,Hoan Kiem lake,17
105.8544935,21.0233204,73.46,Hoan Kiem lake,17
105.8548784,21.0233185,69.96,Hoan Kiem lake,17
105.8552633,21.0233166,76.18,Hoan Kiem lake,17
105.8556482,21.0233146,74.8,Hoan Kiem lake,17
105.8560331,21.0233127,71.41,Hoan Kiem lake,17
105.856418,21.0233108,72.16,Hoan Kiem lake,17
105.8568029,21.0233088,71.57,Hoan Kiem lake,17
105.8571878,21.0233069,68.03,Hoan Kiem lake,17
105.8575727,21.0233049,69.94,Hoan Kiem lake,17
105.8421788,21.0237432,63.63,Hoan Kiem lake,17
105.8425637,21.0237413,67.57,Hoan Kiem lake,17
105.8429486,21.0237394,70.4,Hoan Kiem lake,17
105.8433335,21.0237375,70.97,Hoan Kiem lake,17
105.8437184,21.0237356,66.49,Hoan Kiem lake,17
105.8441033,21.0237337,61.93,Hoan Kiem lake,17
105.8444882,21.0237318,69.26,Hoan Kiem lake,17
105.8448731,21.0237299,70.4,Hoan Kiem lake,17
105.845258,21.023728,63.9,Hoan Kiem lake,17
105.8456429,21.0237261,62.36,Hoan Kiem lake,17
105.8460278,21.0237241,63.75,Hoan Kiem lake,17
105.8464127,21.0237222,66.66,Hoan Kiem lake,17
105.8467976,21.0237203,71.12,Hoan Kiem lake,17
105.8471825,21.0237184,66.45,Hoan Kiem lake,17
105.8475674,21.0237165,69.86,Hoan Kiem lake,17
105.8479523,21.0237146,67.85,Hoan Kiem lake,17
105.8483372,21.0237126,66.44,Hoan Kiem lake,17
105.8487221,21.0237107,73.0,Hoan Kiem lake,17
105.849107,21.0237088,71.9,Hoan Kiem lake,17
105.8494919,21.0237069,71.86,Hoan Kiem lake,17
105.8498768,21.023705,69.04,Hoan Kiem lake,17
105.8502617,21.023703,65.74,Hoan Kiem lake,17
105.8506466,21.0237011,65.02,Hoan Kiem lake,17
105.8510315,21.0236992,72.49,Hoan Kiem lake,17
105.8514164,21.0236973,62.89,Hoan Kiem lake,17
105.8518013,21.0236953,62.78,Hoan Kiem lake,17
105.8521862,21.0236934,64.04,Hoan Kiem lake,17
105.8525711,21.0236915,70.79,Hoan Kiem lake,17
105.852956,21.0236895,70.24,Hoan Kiem lake,17
105.8533409,21.0236876,64.37,Hoan Kiem lake,17
105.8537258,21.0236857,64.23,Hoan Kiem lake,17
105.8541107,21.0236838,70.53,Hoan Kiem lake,17
105.8544955,21.0236818,78.13,Hoan Kiem lake,17
105.8548804,21.0236799,72.35,Hoan Kiem lake,17
105.8552653,21.0236779,75.41,Hoan Kiem lake,17
105.8556502,21.023676,71.89,Hoan Kiem lake,17
105.8560351,21.0236741,65.93,Hoan Kiem lake,17
105.85642,21.0236721,65.69,Hoan Kiem lake,17
105.8568049,21.0236702,73.17,Hoan Kiem lake,17
105.8571898,21.0236683,70.53,Hoan Kiem lake,17
105.8575747,21.0236663,62.68,Hoan Kiem lake,17
105.8421809,21.0241046,70.98,Hoan Kiem lake,17
105.8425658,21.0241027,70.17,Hoan Kiem lake,17
105.8429507,21.0241008,71.36,Hoan Kiem lake,17
105.8433356,21.0240989,63.76,Hoan Kiem lake,17
105.8437205,21.024097,62.97,Hoan Kiem lake,17
105.8441054,21.0240951,63.03,Hoan Kiem lake,17
105.8444903,21.0240932,63.98,Hoan Kiem lake,17
105.8448752,21.0240913,70.87,Hoan Kiem lake,17
105.8452601,21.0240894,64.1,Hoan Kiem lake,17
105.845645,21.0240874,63.85,Hoan Kiem lake,17
105.8460299,21.0240855,64.07,Hoan Kiem lake,17
105.8464148,21.0240836,63.15,Hoan Kiem lake,17
105.8467996,21.0240817,70.15,Hoan Kiem lake,17
105.8471845,21.0240798,72.73,Hoan Kiem lake,17
105.8475694,21.0240779,71.94,Hoan Kiem lake,17
105.8479543,21.0240759,69.58,Hoan Kiem lake,17
105.8483392,21.024074,70.59,Hoan Kiem lake,17
105.8487241,21.0240721,67.89,Hoan Kiem lake,17
105.849109,21.0240702,69.68,Hoan Kiem lake,17
105.8494939,21.0240683,69.98,Hoan Kiem lake,17
105.8498788,21.0240663,65.74,Hoan Kiem lake,17
105.8502637,21.0240644,65.76,Hoan Kiem lake,17
105.8506486,21.0240625,64.6,Hoan Kiem lake,17
105.8510335,21.0240606,75.4,Hoan Kiem lake,17
105.8514184,21.0240586,63.23,Hoan Kiem lake,17
105.8518033,21.0240567,65.47,Hoan Kiem lake,17
105.8521882,21.0240548,64.09,Hoan Kiem lake,17
105.8525731,21.0240529,65.09,Hoan Kiem lake,17
105.852958,21.0240509,74.49,Hoan Kiem lake,17
105.8533429,21.024049,73.99,Hoan Kiem lake,17
105.8537278,21.0240471,72.01,Hoan Kiem lake,17
105.8541127,21.0240451,69.03,Hoan Kiem lake,17
105.8544976,21.0240432,67.42,Hoan Kiem lake,17
105.8548825,21.0240413,73.79,Hoan Kiem lake,17
105.8552674,21.0240393,68.27,Hoan Kiem lake,17
105.8556523,21.0240374,72.06,Hoan Kiem lake,17
105.8560372,21.0240355,72.65,Hoan Kiem lake,17
105.8564221,21.0240335,71.31,Hoan Kiem lake,17
105.856807,21.0240316,71.65,Hoan Kiem lake,17
105.8571919,21.0240296,71.61,Hoan Kiem lake,17
105.8575768,21.0240277,63.93,Hoan Kiem lake,17
105.8421829,21.024466,63.47,Hoan Kiem lake,17
105.8425678,21.0244641,63.35,Hoan Kiem lake,17
105.8429527,21.0244622,69.03,Hoan Kiem lake,17
105.8433376,21.0244603,63.17,Hoan Kiem lake,17
105.8437225,21.0244584,64.15,Hoan Kiem lake,17
105.8441074,21.0244565,63.15,Hoan Kiem lake,17
105.8444923,21.0244546,63.28,Hoan Kiem lake,17
105.8448772,21.0244527,72.67,Hoan Kiem lake,17
105.8452621,21.0244507,63.45,Hoan Kiem lake,17
105.845647,21.0244488,63.33,Hoan Kiem lake,17
105.8460319,21.0244469,68.79,Hoan Kiem lake,17
105.8464168,21.024445,71.25,Hoan Kiem lake,17
105.8468017,21.0244431,71.55,Hoan Kiem lake,17
105.8471866,21.0244412,69.29,Hoan Kiem lake,17
105.8475715,21.0244393,68.16,Hoan Kiem lake,17
105.8479564,21.0244373,64.3,Hoan Kiem lake,17
105.8483413,21.0244354,65.58,Hoan Kiem lake,17
105.8487262,21.0244335,64.59,Hoan Kiem lake,17
105.8491111,21.0244316,64.14,Hoan Kiem lake,17
105.849496,21.0244297,72.45,Hoan Kiem lake,17
105.8498809,21.0244277,63.64,Hoan Kiem lake,17
105.8502658,21.0244258,63.98,Hoan Kiem lake,17
105.8506507,21.0244239,65.72,Hoan Kiem lake,17
105.8510356,21.024422,69.5,Hoan Kiem lake,17
105.8514205,21.02442,67.89,Hoan Kiem lake,17
105.8518054,21.0244181,67.82,Hoan Kiem lake,17
105.8521903,21.0244162,71.16,Hoan Kiem lake,17
105.8525752,21.0244142,73.27,Hoan Kiem lake,17
105.8529601,21.0244123,70.77,Hoan Kiem lake,17
105.853345,21.0244104,65.61,Hoan Kiem lake,17
105.8537299,21.0244085,63.36,Hoan Kiem lake,17
105.8541148,21.0244065,63.02,Hoan Kiem lake,17
105.8544997,21.0244046,64.85,Hoan Kiem lake,17
105.8548846,21.0244027,74.2,Hoan Kiem lake,17
105.8552695,21.0244007,68.97,Hoan Kiem lake,17
105.8556544,21.0243988,71.9,Hoan Kiem lake,17
105.8560393,21.0243968,65.37,Hoan Kiem lake,17
105.8564242,21.0243949,69.28,Hoan Kiem lake,17
105.8568091,21.024393,73.61,Hoan Kiem lake,17
105.857194,21.024391,73.38,Hoan Kiem lake,17
105.8575789,21.0243891,66.2,Hoan Kiem lake,17
105.8421849,21.0248274,63.57,Hoan Kiem lake,17
105.8425698,21.0248255,63.36,Hoan Kiem lake,17
105.8429547,21.0248236,71.0,Hoan Kiem lake,17
105.8433396,21.0248217,63.65,Hoan Kiem lake,17
105.8437245,21.0248198,65.76,Hoan Kiem lake,17
105.8441094,21.0248179,64.44,Hoan Kiem lake,17
105.8444943,21.024816,62.74,Hoan Kiem lake,17
105.8448792,21.024814,69.96,Hoan Kiem lake,17
105.8452641,21.0248121,74.57,Hoan Kiem lake,17
105.845649,21.0248102,70.64,Hoan Kiem lake,17
105.8460339,21.0248083,67.98,Hoan Kiem lake,17
105.8464188,21.0248064,71.71,Hoan Kiem lake,17
105.8468037,21.0248045,62.31,Hoan Kiem lake,17
105.8471886,21.0248026,65.99,Hoan Kiem lake,17
105.8475735,21.0248006,64.59,Hoan Kiem lake,17
105.8479584,21.0247987,64.51,Hoan Kiem lake,17
105.8483433,21.0247968,63.98,Hoan Kiem lake,17
105.8487282,21.0247949,64.74,Hoan Kiem lake,17
105.8491131,21.024793,64.62,Hoan Kiem lake,17
105.849498,21.024791,72.39,Hoan Kiem lake,17
105.8498829,21.0247891,61.99,Hoan Kiem lake,17
105.8502678,21.0247872,66.87,Hoan Kiem lake,17
105.8506527,21.0247853,69.71,Hoan Kiem lake,17
105.8510376,21.0247833,69.41,Hoan Kiem lake,17
105.8514225,21.0247814,71.53,Hoan Kiem lake,17
105.8518074,21.0247795,69.08,Hoan Kiem lake,17
105.8521923,21.0247776,63.78,Hoan Kiem lake,17
105.8525772,21.0247756,65.13,Hoan Kiem lake,17
105.8529621,21.0247737,71.26,Hoan Kiem lake,17
105.853347,21.0247718,63.1,Hoan Kiem lake,17
105.8537319,21.0247698,63.73,Hoan Kiem lake,17
105.8541168,21.0247679,63.85,Hoan Kiem lake,17
105.8545017,21.024766,65.75,Hoan Kiem lake,17
105.8548866,21.024764,72.76,Hoan Kiem lake,17
105.8552715,21.0247621,73.41,Hoan Kiem lake,17
105.8556564,21.0247602,71.91,Hoan Kiem lake,17
105.8560413,21.0247582,78.03,Hoan Kiem lake,17
105.8564262,21.0247563,69.62,Hoan Kiem lake,17
105.8568111,21.0247544,72.08,Hoan Kiem lake,17
105.857196,21.0247524,72.18,Hoan Kiem lake,17
105.8575809,21.0247505,66.78,Hoan Kiem lake,17
105.842187,21.0251888,63.52,Hoan Kiem lake,17
105.8425719,21.0251869,62.8,Hoan Kiem lake,17
105.8429568,21.025185,67.01,Hoan Kiem lake,17
105.8433417,21.0251831,66.83,Hoan Kiem lake,17
105.8437266,21.0251812,71.46,Hoan Kiem lake,17
105.8441115,21.0251793,71.49,Hoan Kiem lake,17
105.8444964,21.0251773,70.0,Hoan Kiem lake,17
105.8448813,21.0251754,69.71,Hoan Kiem lake,17
105.8452662,21.0251735,69.62,Hoan Kiem lake,17
105.8456511,21.0251716,67.21,Hoan Kiem lake,17
105.846036,21.0251697,72.37,Hoan Kiem lake,17
105.8464209,21.0251678,67.86,Hoan Kiem lake,17
105.8468058,21.0251659,67.96,Hoan Kiem lake,17
105.8471907,21.0251639,64.59,Hoan Kiem lake,17
105.8475756,21.025162,64.33,Hoan Kiem lake,17
105.8479605,21.0251601,64.53,Hoan Kiem lake,17
105.8483454,21.0251582,62.23,Hoan Kiem lake,17
105.8487303,21.0251563,63.57,Hoan Kiem lake,17
105.8491152,21.0251543,69.75,Hoan Kiem lake,17
105.8495001,21.0251524,72.16,Hoan Kiem lake,17
105.849885,21.0251505,70.62,Hoan Kiem lake,17
105.8502699,21.0251486,68.67,Hoan Kiem lake,17
105.8506548,21.0251467,68.41,Hoan Kiem lake,17
105.8510397,21.0251447,63.39,Hoan Kiem lake,17
105.8514246,21.0251428,71.99,Hoan Kiem lake,17
105.8518095,21.0251409,64.32,Hoan Kiem lake,17
105.8521944,21.0251389,63.22,Hoan Kiem lake,17
105.8525793,21.025137,64.97,Hoan Kiem lake,17
105.8529642,21.0251351,67.6,Hoan Kiem lake,17
105.8533491,21.0251332,69.83,Hoan Kiem lake,17
105.853734,21.0251312,69.87,Hoan Kiem lake,17
105.8541189,21.0251293,72.56,Hoan Kiem lake,17
105.8545038,21.0251274,73.18,Hoan Kiem lake,17
105.8548887,21.0251254,72.51,Hoan Kiem lake,17
105.8552736,21.0251235,71.55,Hoan Kiem lake,17
105.8556585,21.0251215,66.15,Hoan Kiem lake,17
105.8560434,21.0251196,66.08,Hoan Kiem lake,17
105.8564283,21.0251177,63.75,Hoan Kiem lake,17
105.8568132,21.0251157,70.98,Hoan Kiem lake,17
105.8571981,21.0251138,68.28,Hoan Kiem lake,17
105.857583,21.0251119,69.86,Hoan Kiem lake,17
105.842189,21.0255502,69.01,Hoan Kiem lake,17
105.8425739,21.0255483,71.69,Hoan Kiem lake,17
105.8429588,21.0255464,70.23,Hoan Kiem lake,17
105.8433437,21.0255445,70.9,Hoan Kiem lake,17
105.8437286,21.0255425,68.36,Hoan Kiem lake,17
105.8441135,21.0255406,63.54,Hoan Kiem lake,17
105.8444984,21.0255387,63.37,Hoan Kiem lake,17
105.8448833,21.0255368,61.99,Hoan Kiem lake,17
105.8452682,21.0255349,72.49,Hoan Kiem lake,17
105.8456531,21.025533,69.24,Hoan Kiem lake,17
105.846038,21.0255311,64.83,Hoan Kiem lake,17
105.8464229,21.0255292,61.47,Hoan Kiem lake,17
105.8468078,21.0255272,67.96,Hoan Kiem lake,17
105.8471927,21.0255253,64.83,Hoan Kiem lake,17
105.8475776,21.0255234,64.39,Hoan Kiem lake,17
105.8479625,21.0255215,68.58,Hoan Kiem lake,17
105.8483474,21.0255196,72.92,Hoan Kiem lake,17
105.8487323,21.0255176,70.96,Hoan Kiem lake,17
105.8491172,21.0255157,68.24,Hoan Kiem lake,17
105.8495021,21.0255138,62.7,Hoan Kiem lake,17
105.849887,21.0255119,69.45,Hoan Kiem lake,17
105.8502719,21.02551,62.33,Hoan Kiem lake,17
105.8506568,21.025508,62.82,Hoan Kiem lake,17
105.8510417,21.0255061,63.36,Hoan Kiem lake,17
105.8514266,21.0255042,70.35,Hoan Kiem lake,17
105.8518115,21.0255023,67.79,Hoan Kiem lake,17
105.8521964,21.0255003,63.19,Hoan Kiem lake,17
105.8525813,21.0254984,66.16,Hoan Kiem lake,17
105.8529662,21.0254965,71.99,Hoan Kiem lake,17
105.8533511,21.0254945,71.24,Hoan Kiem lake,17
105.853736,21.0254926,68.46,Hoan Kiem lake,17
105.8541209,21.0254907,63.09,Hoan Kiem lake,17
105.8545058,21.0254887,71.52,Hoan Kiem lake,17
105.8548907,21.0254868,75.43,Hoan Kiem lake,17
105.8552756,21.0254849,72.3,Hoan Kiem lake,17
105.8556605,21.0254829,68.64,Hoan Kiem lake,17
105.8560455,21.025481,67.02,Hoan Kiem lake,17
105.8564304,21.0254791,69.69,Hoan Kiem lake,17
105.8568153,21.0254771,68.36,Hoan Kiem lake,17
105.8572002,21.0254752,69.24,Hoan Kiem lake,17
105.8575851,21.0254732,72.57,Hoan Kiem lake,17
105.842191,21.0259116,67.18,Hoan Kiem lake,17
105.8425759,21.0259097,64.97,Hoan Kiem lake,17
105.8429608,21.0259077,66.5,Hoan Kiem lake,17
105.8433457,21.0259058,73.24,Hoan Kiem lake,17
105.8437306,21.0259039,67.2,Hoan Kiem lake,17
105.8441155,21.025902,68.59,Hoan Kiem lake,17
105.8445004,21.0259001,66.88,Hoan Kiem lake,17
105.8448853,21.0258982,62.87,Hoan Kiem lake,17
105.8452702,21.0258963,71.58,Hoan Kiem lake,17
105.8456551,21.0258944,69.18,Hoan Kiem lake,17
105.84604,21.0258925,62.93,Hoan Kiem lake,17
105.846425,21.0258905,67.93,Hoan Kiem lake,17
105.8468099,21.0258886,68.04,Hoan Kiem lake,17
105.8471948,21.0258867,72.38,Hoan Kiem lake,17
105.8475797,21.0258848,74.3,Hoan Kiem lake,17
105.8479646,21.0258829,69.4,Hoan Kiem lake,17
105.8483495,21.025881,64.32,Hoan Kiem lake,17
105.8487344,21.025879,64.01,Hoan Kiem lake,17
105.8491193,21.0258771,63.54,Hoan Kiem lake,17
105.8495042,21.0258752,63.99,Hoan Kiem lake,17
105.8498891,21.0258733,70.5,Hoan Kiem lake,17
105.850274,21.0258713,61.79,Hoan Kiem lake,17
105.8506589,21.0258694,63.99,Hoan Kiem lake,17
105.8510438,21.0258675,61.67,Hoan Kiem lake,17
105.8514287,21.0258656,68.84,Hoan Kiem lake,17
105.8518136,21.0258636,71.74,Hoan Kiem lake,17
105.8521985,21.0258617,72.68,Hoan Kiem lake,17
105.8525834,21.0258598,66.88,Hoan Kiem lake,17
105.8529683,21.0258579,62.65,Hoan Kiem lake,17
105.8533532,21.0258559,72.83,Hoan Kiem lake,17
105.8537381,21.025854,70.64,Hoan Kiem lake,17
105.854123,21.0258521,70.91,Hoan Kiem lake,17
105.8545079,21.0258501,69.01,Hoan Kiem lake,17
105.8548928,21.0258482,67.98,Hoan Kiem lake,17
105.8552777,21.0258463,73.99,Hoan Kiem lake,17
105.8556626,21.0258443,72.64,Hoan Kiem lake,17
105.8560475,21.0258424,70.04,Hoan Kiem lake,17
105.8564324,21.0258404,71.93,Hoan Kiem lake,17
105.8568173,21.0258385,71.91,Hoan Kiem lake,17
105.8572022,21.0258366,69.13,Hoan Kiem lake,17
105.8575871,21.0258346,64.62,Hoan Kiem lake,17
105.842193,21.0262729,68.2,Hoan Kiem lake,17
105.842578,21.026271,70.81,Hoan Kiem lake,17
105.8429629,21.0262691,71.37,Hoan Kiem lake,17
105.8433478,21.0262672,71.89,Hoan Kiem lake,17
105.8437327,21.0262653,72.13,Hoan Kiem lake,17
105.8441176,21.0262634,69.36,Hoan Kiem lake,17
105.8445025,21.0262615,66.84,Hoan Kiem lake,17
105.8448874,21.0262596,65.76,Hoan Kiem lake,17
105.8452723,21.0262577,72.8,Hoan Kiem lake,17
105.8456572,21.0262558,71.57,Hoan Kiem lake,17
105.8460421,21.0262538,71.22,Hoan Kiem lake,17
105.846427,21.0262519,72.93,Hoan Kiem lake,17
105.8468119,21.02625,69.25,Hoan Kiem lake,17
105.8471968,21.0262481,64.54,Hoan Kiem lake,17
105.8475817,21.0262462,72.81,Hoan Kiem lake,17
105.8479666,21.0262443,64.22,Hoan Kiem lake,17
105.8483515,21.0262423,63.48,Hoan Kiem lake,17
105.8487364,21.0262404,61.31,Hoan Kiem lake,17
105.8491213,21.0262385,63.9,Hoan Kiem lake,17
105.8495062,21.0262366,63.36,Hoan Kiem lake,17
105.8498911,21.0262347,65.23,Hoan Kiem lake,17
105.850276,21.0262327,71.05,Hoan Kiem lake,17
105.8506609,21.0262308,69.97,Hoan Kiem lake,17
105.8510458,21.0262289,70.95,Hoan Kiem lake,17
105.8514307,21.026227,67.67,Hoan Kiem lake,17
105.8518156,21.026225,67.98,Hoan Kiem lake,17
105.8522005,21.0262231,63.68,Hoan Kiem lake,17
105.8525855,21.0262212,62.72,Hoan Kiem lake,17
105.8529704,21.0262192,64.83,Hoan Kiem lake,17
105.8533553,21.0262173,69.68,Hoan Kiem lake,17
105.8537402,21.0262154,63.09,Hoan Kiem lake,17
105.8541251,21.0262134,62.92,Hoan Kiem lake,17
105.85451,21.0262115,63.43,Hoan Kiem lake,17
105.8548949,21.0262096,63.75,Hoan Kiem lake,17
