category,energy,level_dB,ref_distance_m,identifiable,source
moto,0.0,,,0,estimé sur nos 147 vidéos et 363 mesures terrain
car,0.0,,,0,estimé sur nos 147 vidéos et 363 mesures terrain
heavy,0.0,,,0,estimé sur nos 147 vidéos et 363 mesures terrain
construction,2931410.010970096,64.67076566663752,56.0,1,estimé sur nos 147 vidéos et 363 mesures terrain
