site,longitude,latitude,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21
Hoan Kiem lake,105.8487589,21.0302157,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63,62.63
Hoan Kiem lake,105.8491438,21.0302137,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68,64.68
Hoan Kiem lake,105.8495288,21.0302118,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33,61.33
Hoan Kiem lake,105.8499137,21.0302099,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02,69.02
Hoan Kiem lake,105.8502986,21.030208,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67
Hoan Kiem lake,105.8506835,21.030206,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37
Hoan Kiem lake,105.8510684,21.0302041,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29,69.29
Hoan Kiem lake,105.8514533,21.0302022,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45
Hoan Kiem lake,105.8518382,21.0302003,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44
Hoan Kiem lake,105.8522231,21.0301983,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68,58.68
Hoan Kiem lake,105.8526081,21.0301964,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4
Hoan Kiem lake,105.852993,21.0301945,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77
Hoan Kiem lake,105.8533779,21.0301925,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14
Hoan Kiem lake,105.8537628,21.0301906,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08,68.08
Hoan Kiem lake,105.8541477,21.0301887,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.71
Hoan Kiem lake,105.8545326,21.0301867,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89,61.89
Hoan Kiem lake,105.8549175,21.0301848,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7
Hoan Kiem lake,105.8553025,21.0301829,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92,61.92
Hoan Kiem lake,105.8556874,21.0301809,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63
Hoan Kiem lake,105.8560723,21.030179,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71
Hoan Kiem lake,105.8564572,21.0301771,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26,69.26
Hoan Kiem lake,105.8568421,21.0301751,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35,65.35
Hoan Kiem lake,105.857227,21.0301732,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49
Hoan Kiem lake,105.8576119,21.0301712,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.14
Hoan Kiem lake,105.8422174,21.0306096,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23,65.23
Hoan Kiem lake,105.8426023,21.0306077,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41
Hoan Kiem lake,105.8429872,21.0306058,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81,65.81
Hoan Kiem lake,105.8433722,21.0306039,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14
Hoan Kiem lake,105.8437571,21.0306019,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
Hoan Kiem lake,105.844142,21.0306,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67
Hoan Kiem lake,105.8445269,21.0305981,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77
Hoan Kiem lake,105.8449118,21.0305962,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9
Hoan Kiem lake,105.8452967,21.0305943,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38,60.38
Hoan Kiem lake,105.8456816,21.0305924,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59,61.59
Hoan Kiem lake,105.8460666,21.0305905,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26,64.26
Hoan Kiem lake,105.8464515,21.0305886,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12
Hoan Kiem lake,105.8468364,21.0305866,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12,63.12
Hoan Kiem lake,105.8472213,21.0305847,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67,63.67
Hoan Kiem lake,105.8476062,21.0305828,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42
Hoan Kiem lake,105.8479911,21.0305809,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54
Hoan Kiem lake,105.8483761,21.030579,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26,62.26
Hoan Kiem lake,105.848761,21.030577,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42
Hoan Kiem lake,105.8491459,21.0305751,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
Hoan Kiem lake,105.8495308,21.0305732,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26,65.26
Hoan Kiem lake,105.8499157,21.0305713,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62,63.62
Hoan Kiem lake,105.8503006,21.0305693,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92,66.92
Hoan Kiem lake,105.8506855,21.0305674,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82
Hoan Kiem lake,105.8510705,21.0305655,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56
Hoan Kiem lake,105.8514554,21.0305636,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14,63.14
Hoan Kiem lake,105.8518403,21.0305616,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26
Hoan Kiem lake,105.8522252,21.0305597,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54,58.54
Hoan Kiem lake,105.8526101,21.0305578,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07
Hoan Kiem lake,105.852995,21.0305559,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86
Hoan Kiem lake,105.8533799,21.0305539,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92,63.92
Hoan Kiem lake,105.8537649,21.030552,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89,70.89
Hoan Kiem lake,105.8541498,21.0305501,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51
Hoan Kiem lake,105.8545347,21.0305481,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58,62.58
Hoan Kiem lake,105.8549196,21.0305462,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75
Hoan Kiem lake,105.8553045,21.0305443,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76
Hoan Kiem lake,105.8556894,21.0305423,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4
Hoan Kiem lake,105.8560743,21.0305404,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86,63.86
Hoan Kiem lake,105.8564593,21.0305384,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68,65.68
Hoan Kiem lake,105.8568442,21.0305365,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12,70.12
Hoan Kiem lake,105.8572291,21.0305346,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48,71.48
Hoan Kiem lake,105.857614,21.0305326,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69,65.69
Hoan Kiem lake,105.8422194,21.030971,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96,60.96
Hoan Kiem lake,105.8426044,21.0309691,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54,61.54
Hoan Kiem lake,105.8429893,21.0309671,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97
Hoan Kiem lake,105.8433742,21.0309652,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6
Hoan Kiem lake,105.8437591,21.0309633,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04,61.04
Hoan Kiem lake,105.844144,21.0309614,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91
Hoan Kiem lake,105.8445289,21.0309595,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26,60.26
Hoan Kiem lake,105.8449139,21.0309576,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81,67.81
Hoan Kiem lake,105.8452988,21.0309557,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14,61.14
Hoan Kiem lake,105.8456837,21.0309538,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91
Hoan Kiem lake,105.8460686,21.0309519,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8
Hoan Kiem lake,105.8464535,21.0309499,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09
Hoan Kiem lake,105.8468384,21.030948,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11,64.11
Hoan Kiem lake,105.8472234,21.0309461,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88,68.88
Hoan Kiem lake,105.8476083,21.0309442,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75
Hoan Kiem lake,105.8479932,21.0309423,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Hoan Kiem lake,105.8483781,21.0309403,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91
Hoan Kiem lake,105.848763,21.0309384,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37,68.37
Hoan Kiem lake,105.8491479,21.0309365,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93
Hoan Kiem lake,105.8495328,21.0309346,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97,65.97
Hoan Kiem lake,105.8499178,21.0309327,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4
Hoan Kiem lake,105.8503027,21.0309307,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79,64.79
Hoan Kiem lake,105.8506876,21.0309288,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Hoan Kiem lake,105.8510725,21.0309269,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
Hoan Kiem lake,105.8514574,21.030925,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9
Hoan Kiem lake,105.8518423,21.030923,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72
Hoan Kiem lake,105.8522273,21.0309211,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27
Hoan Kiem lake,105.8526122,21.0309192,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11,60.11
Hoan Kiem lake,105.8529971,21.0309172,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27,62.27
Hoan Kiem lake,105.853382,21.0309153,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38,66.38
Hoan Kiem lake,105.8537669,21.0309134,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73
Hoan Kiem lake,105.8541518,21.0309114,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93,63.93
Hoan Kiem lake,105.8545367,21.0309095,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79,63.79
Hoan Kiem lake,105.8549217,21.0309076,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06,64.06
Hoan Kiem lake,105.8553066,21.0309056,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53,60.53
Hoan Kiem lake,105.8556915,21.0309037,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99
Hoan Kiem lake,105.8560764,21.0309018,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23,69.23
Hoan Kiem lake,105.8564613,21.0308998,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81,64.81
Hoan Kiem lake,105.8568462,21.0308979,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71,68.71
Hoan Kiem lake,105.8572312,21.0308959,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97,66.97
Hoan Kiem lake,105.8576161,21.030894,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24,69.24
Hoan Kiem lake,105.8422215,21.0313323,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44
Hoan Kiem lake,105.8426064,21.0313304,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76
Hoan Kiem lake,105.8429913,21.0313285,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96,68.96
Hoan Kiem lake,105.8433762,21.0313266,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24,61.24
Hoan Kiem lake,105.8437611,21.0313247,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27
Hoan Kiem lake,105.8441461,21.0313228,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9
Hoan Kiem lake,105.844531,21.0313209,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93
Hoan Kiem lake,105.8449159,21.031319,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44,64.44
Hoan Kiem lake,105.8453008,21.0313171,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95
Hoan Kiem lake,105.8456857,21.0313152,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66,61.66
Hoan Kiem lake,105.8460706,21.0313132,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46
Hoan Kiem lake,105.8464556,21.0313113,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92
Hoan Kiem lake,105.8468405,21.0313094,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74
Hoan Kiem lake,105.8472254,21.0313075,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55,63.55
Hoan Kiem lake,105.8476103,21.0313056,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27,59.27
Hoan Kiem lake,105.8479952,21.0313036,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43,59.43
Hoan Kiem lake,105.8483801,21.0313017,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1
Hoan Kiem lake,105.8487651,21.0312998,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73
Hoan Kiem lake,105.84915,21.0312979,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95
Hoan Kiem lake,105.8495349,21.031296,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68,62.68
Hoan Kiem lake,105.8499198,21.031294,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54,64.54
Hoan Kiem lake,105.8503047,21.0312921,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92
Hoan Kiem lake,105.8506896,21.0312902,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6
Hoan Kiem lake,105.8510746,21.0312883,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31,68.31
Hoan Kiem lake,105.8514595,21.0312863,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61
Hoan Kiem lake,105.8518444,21.0312844,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25
Hoan Kiem lake,105.8522293,21.0312825,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19,61.19
Hoan Kiem lake,105.8526142,21.0312806,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14
Hoan Kiem lake,105.8529991,21.0312786,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55,64.55
Hoan Kiem lake,105.8533841,21.0312767,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07,72.07
Hoan Kiem lake,105.853769,21.0312748,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64,66.64
Hoan Kiem lake,105.8541539,21.0312728,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99
Hoan Kiem lake,105.8545388,21.0312709,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94
Hoan Kiem lake,105.8549237,21.031269,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8
Hoan Kiem lake,105.8553086,21.031267,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5
Hoan Kiem lake,105.8556936,21.0312651,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13,69.13
Hoan Kiem lake,105.8560785,21.0312631,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37,69.37
Hoan Kiem lake,105.8564634,21.0312612,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69,70.69
Hoan Kiem lake,105.8568483,21.0312593,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66,71.66
Hoan Kiem lake,105.8572332,21.0312573,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18,65.18
Hoan Kiem lake,105.8576181,21.0312554,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27,64.27
Hoan Kiem lake,105.8422235,21.0316937,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75
Hoan Kiem lake,105.8426084,21.0316918,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04,60.04
Hoan Kiem lake,105.8429933,21.0316899,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Hoan Kiem lake,105.8433783,21.031688,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19
Hoan Kiem lake,105.8437632,21.0316861,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1
Hoan Kiem lake,105.8441481,21.0316842,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25
