site,longitude,latitude,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21
Hoan Kiem lake,105.8537175,21.0222401,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51,64.51
Hoan Kiem lake,105.8541024,21.0222382,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97,68.97
Hoan Kiem lake,105.8544873,21.0222363,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14,67.14
Hoan Kiem lake,105.8548722,21.0222343,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61,64.61
Hoan Kiem lake,105.8552571,21.0222324,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92,62.92
Hoan Kiem lake,105.855642,21.0222305,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02
Hoan Kiem lake,105.8560269,21.0222285,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57,62.57
Hoan Kiem lake,105.8564118,21.0222266,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78,65.78
Hoan Kiem lake,105.8567967,21.0222247,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96
Hoan Kiem lake,105.8571816,21.0222227,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85
Hoan Kiem lake,105.8575665,21.0222208,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24
Hoan Kiem lake,105.8421727,21.0226591,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21,60.21
Hoan Kiem lake,105.8425576,21.0226572,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23,59.23
Hoan Kiem lake,105.8429425,21.0226553,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43
Hoan Kiem lake,105.8433274,21.0226534,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16,65.16
Hoan Kiem lake,105.8437123,21.0226515,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52,62.52
Hoan Kiem lake,105.8440972,21.0226496,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71,59.71
Hoan Kiem lake,105.8444821,21.0226476,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27,60.27
Hoan Kiem lake,105.844867,21.0226457,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04,62.04
Hoan Kiem lake,105.8452519,21.0226438,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44,69.44
Hoan Kiem lake,105.8456368,21.0226419,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5
Hoan Kiem lake,105.8460217,21.02264,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
Hoan Kiem lake,105.8464066,21.0226381,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88,70.88
Hoan Kiem lake,105.8467915,21.0226362,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07,69.07
Hoan Kiem lake,105.8471764,21.0226342,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84,64.84
Hoan Kiem lake,105.8475613,21.0226323,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02,63.02
Hoan Kiem lake,105.8479462,21.0226304,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36,62.36
Hoan Kiem lake,105.8483311,21.0226285,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65,62.65
Hoan Kiem lake,105.848716,21.0226266,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8
Hoan Kiem lake,105.8491009,21.0226246,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7
Hoan Kiem lake,105.8494857,21.0226227,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87,61.87
Hoan Kiem lake,105.8498706,21.0226208,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88,60.88
Hoan Kiem lake,105.8502555,21.0226189,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45,62.45
Hoan Kiem lake,105.8506404,21.022617,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04,70.04
