site_name,moto_mean,car_mean,bus_mean,truck_mean,total,moto_share,car_share,bus_share,truck_share
Hoan Kiem lake,2.217,1.0873333333333333,0.044333333333333336,0.06583333333333334,3.4145,0.649289793527603,0.3184458437057646,0.012983843412895983,0.01928051935373652
Ocean Park,0.6644444444444444,3.2802222222222226,0.08333333333333333,0.1428888888888889,4.170888888888889,0.15930523735947572,0.7864563908572646,0.019979753849432572,0.034258617933827056
Vinh Tuy area,2.364047619047619,4.655952380952381,0.0719047619047619,0.09261904761904763,7.184523809523808,0.32904722452361235,0.6480530240265121,0.010008285004142503,0.012891466445733225
